               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094337,            0.032638,                   0,              0.4389,             0.35458,             0.33357,             0.12084,            0.063637,            0.018148,                   0,            0.070136,           0.0033183,           0.0033183
                   1,            0.064229,            0.027977,                   0,             0.37008,             0.34661,             0.28578,              0.1102,            0.063415,            0.016299,                   0,            0.039477,           0.0059931,           0.0059931
                   2,            0.058493,            0.027398,                   0,             0.52395,             0.48673,             0.48603,             0.18434,             0.05638,            0.016028,                   0,           0.0081587,           0.0080079,           0.0080079
                   3,            0.053527,            0.026725,                   0,              0.5087,             0.45377,             0.40827,              0.1553,            0.057726,            0.016418,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.051561,            0.026254,                   0,             0.63128,             0.43825,             0.49097,             0.19637,            0.055801,            0.015782,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.048439,             0.02533,                   0,             0.56421,             0.39442,             0.43199,             0.17652,            0.056344,            0.017201,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.046979,             0.02558,                   0,             0.52227,             0.49402,             0.49373,             0.20784,            0.053461,            0.016195,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.045407,            0.024738,                   0,             0.56826,             0.47809,             0.48366,             0.20578,            0.054572,            0.016126,                   0,             0.00406,             0.00406,             0.00406
                   8,             0.04388,            0.024144,                   0,              0.6002,             0.43028,             0.48033,              0.2155,            0.052674,            0.016485,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.042479,            0.024096,                   0,             0.51456,             0.48207,             0.47554,             0.21239,            0.053546,            0.016685,                   0,             0.00208,             0.00208,             0.00208
