               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093647,            0.032911,                   0,             0.43236,              0.3763,             0.38609,             0.13874,            0.063122,            0.017493,                   0,            0.070068,           0.0033258,           0.0033258
                   1,            0.064885,            0.028359,                   0,             0.33399,             0.36653,             0.25691,            0.098558,            0.062032,            0.016823,                   0,            0.040002,           0.0065932,           0.0065932
                   2,             0.05942,            0.027565,                   0,             0.27273,             0.35857,             0.21966,            0.076368,            0.065019,            0.016843,                   0,           0.0098702,           0.0097946,           0.0097946
                   3,            0.055631,            0.028297,                   0,               0.503,             0.43028,             0.44386,             0.18139,            0.055712,            0.017224,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.053127,            0.027553,                   0,             0.57688,             0.40637,             0.47243,             0.19265,            0.057395,            0.016961,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.050939,             0.02683,                   0,             0.47783,             0.50199,             0.45464,             0.18652,            0.055424,            0.017166,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.04996,            0.026318,                   0,              0.5067,             0.49402,             0.46957,             0.19811,            0.055415,            0.017301,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.048805,             0.02658,                   0,              0.5073,             0.50598,             0.47835,             0.20042,            0.053794,             0.01716,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.048241,            0.025904,                   0,              0.5015,             0.43825,             0.42599,             0.17455,            0.054989,            0.017844,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.047108,            0.025771,                   0,             0.44099,             0.47809,             0.43314,             0.18909,             0.05403,            0.017167,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.046734,            0.024791,                   0,             0.55782,              0.4502,             0.47504,             0.19589,            0.055163,            0.017053,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.045924,            0.025018,                   0,             0.53146,             0.43426,             0.43977,             0.17014,            0.054172,             0.01768,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.045831,            0.024692,                   0,              0.4856,             0.44223,             0.40636,             0.18032,            0.057682,            0.018179,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.044982,            0.024337,                   0,             0.59321,             0.50545,             0.51575,             0.20975,            0.054698,            0.016938,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.04442,            0.024406,                   0,             0.49865,             0.47809,             0.48177,             0.19731,             0.05559,            0.017529,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.043719,            0.024009,                   0,             0.53981,             0.45332,             0.46028,             0.19564,            0.054514,             0.01742,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.04336,             0.02426,                   0,             0.49114,             0.47809,             0.43034,             0.17532,            0.054549,            0.017957,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.043138,            0.024261,                   0,             0.60829,             0.46215,             0.47277,             0.19756,            0.053628,            0.017773,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.04227,             0.02343,                   0,             0.47804,             0.48894,               0.466,             0.19938,            0.054692,            0.018117,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.042434,            0.023135,                   0,             0.54031,             0.46215,             0.42714,             0.18355,            0.055417,            0.018641,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.041596,            0.022908,                   0,             0.56941,             0.42231,             0.41192,             0.17606,            0.055094,            0.018012,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.041618,            0.023442,                   0,             0.54493,             0.52988,              0.5021,              0.2038,            0.054138,            0.018152,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.040987,            0.022869,                   0,             0.51492,             0.48207,             0.41241,             0.16873,            0.054202,            0.018081,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.040922,            0.022791,                   0,             0.59401,              0.4741,             0.46046,             0.19223,            0.054937,            0.018372,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.040017,            0.022478,                   0,             0.46363,             0.51793,             0.44536,             0.18996,            0.054805,             0.01821,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.040354,            0.022095,                   0,             0.55656,              0.4741,             0.42069,             0.19354,            0.055517,            0.018749,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.039418,             0.02216,                   0,             0.55093,             0.54183,             0.48767,             0.21154,            0.054425,             0.01831,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.039667,            0.022062,                   0,              0.5645,             0.45962,             0.41345,             0.18248,            0.056286,            0.019009,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.038918,            0.021993,                   0,             0.58946,              0.4741,             0.46223,             0.19272,            0.053607,            0.018258,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.039015,            0.021757,                   0,             0.53391,             0.52988,             0.46182,             0.20654,            0.053982,            0.018736,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.038562,            0.021408,                   0,             0.59481,             0.49004,             0.47796,             0.20593,            0.054267,            0.018867,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.037857,            0.020863,                   0,             0.62709,             0.50248,             0.49718,             0.20636,            0.054337,            0.018884,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.038126,            0.021462,                   0,             0.52433,             0.48748,             0.43121,             0.18933,            0.055092,            0.019126,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.037826,            0.020833,                   0,             0.54505,             0.49801,             0.42221,             0.17626,            0.056337,            0.019313,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.037657,            0.021027,                   0,             0.59321,             0.49383,              0.4576,             0.18568,            0.055089,            0.018608,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.036749,            0.020432,                   0,             0.58309,             0.48606,              0.4553,             0.19953,            0.053824,            0.020265,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.036899,            0.020763,                   0,             0.62537,              0.4741,             0.46831,             0.20107,            0.054419,            0.019389,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.036146,            0.020635,                   0,             0.59463,             0.50199,             0.43414,             0.19086,            0.054884,            0.019649,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.036135,            0.020466,                   0,              0.4955,             0.53785,             0.44941,             0.19144,            0.055082,            0.020389,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.035818,            0.020098,                   0,             0.58247,             0.51132,             0.43981,             0.18389,            0.054187,            0.020502,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.03555,            0.020064,                   0,             0.60163,             0.48606,             0.43453,              0.1861,            0.054599,            0.019964,                   0,            0.006139,            0.006139,            0.006139
